CLUB,WINS,DRAWS,LOSSES,GOALS FOR,GOALS AGAINST
“LIVERPOOL”,29,2,2,72,25	
“MANCHESTER CITY”,21,3,9,81,34	
"“LEICESTER CITY""",17,7,9,63,31	
“CHELSEA”,17,6,10,60,44		
“MANCHESTER UTD”,15,10,8,56,33	
“WOLVES”,13,13,7,45,36		
“ARSENAL”,12,13,8,49,41	
“SHEFFIELD UTD”,12,12,9,34,33		
“BURNLEY”,13,7,13,37,46		
“TOTTENHAM”,12,9,11,51,44	
“EVERTON”,12,8,12,40,47		
“NEWCASTLE UTD”,11,10,12,35,45	
“SOUTHAMPTON”,13,4,16,42,55	
“CRYSTAL PALACE”,11,9,13,28,40	
“BRIGHTON”,8,12,13,35,44	
“WEST HAM”,8,7,18,40,58		
“WATFORD”,6,10,17,29,52	
“ASTON VILLA”,7,6,20,36,62	
“BOURNEMOUTH”,7,6,20,32,59
“NORWICH CITY”,5,6,22,25,61
